id,name,model,vehicle_class,manufacturer,length,cost_in_credits,crew,passengers,max_atmosphering_speed,cargo_capacity,consumables,url,created,edited
19,Tribubble bongo,Tribubble bongo,submarine,Otoh Gunga Bongameken Cooperative,15,unknown,1,2,85,1600,unknown,https://swapi.dev/api/vehicles/38/,2014-12-19 17:37:37.924000,2014-12-20 21:30:21.710000
20,Sith speeder,FC-20 speeder bike,speeder,Razalon,1.5,4000,1,0,180,2,unknown,https://swapi.dev/api/vehicles/42/,2014-12-20 10:09:56.095000,2014-12-20 21:30:21.712000
21,Zephyr-G swoop bike,Zephyr-G swoop bike,repulsorcraft,Mobquet Swoops and Speeders,3.68,5750,1,1,350,200,none,https://swapi.dev/api/vehicles/44/,2014-12-20 16:24:16.026000,2014-12-20 21:30:21.714000
22,Koro-2 Exodrive airspeeder,Koro-2 Exodrive airspeeder,airspeeder,Desler Gizh Outworld Mobility Corporation,6.6,unknown,1,1,800,80,unknown,https://swapi.dev/api/vehicles/45/,2014-12-20 17:17:33.526000,2014-12-20 21:30:21.716000
23,XJ-6 airspeeder,XJ-6 airspeeder,airspeeder,Narglatch AirTech prefabricated kit,6.23,unknown,1,1,720,unknown,unknown,https://swapi.dev/api/vehicles/46/,2014-12-20 17:19:19.991000,2014-12-20 21:30:21.719000
24,LAAT/i,Low Altitude Assault Transport/infrantry,gunship,Rothana Heavy Engineering,17.4,unknown,6,30,620,170,unknown,https://swapi.dev/api/vehicles/50/,2014-12-20 18:01:21.014000,2014-12-20 21:30:21.723000
25,LAAT/c,Low Altitude Assault Transport/carrier,gunship,Rothana Heavy Engineering,28.82,unknown,1,0,620,40000,unknown,https://swapi.dev/api/vehicles/51/,2014-12-20 18:02:46.802000,2014-12-20 21:30:21.725000
26,AT-TE,All Terrain Tactical Enforcer,walker,"Rothana Heavy Engineering, Kuat Drive Yards",13.2,unknown,6,36,60,10000,21 days,https://swapi.dev/api/vehicles/53/,2014-12-20 18:10:07.560000,2014-12-20 21:30:21.728000
27,SPHA,Self-Propelled Heavy Artillery,walker,Rothana Heavy Engineering,140,unknown,25,30,35,500,7 days,https://swapi.dev/api/vehicles/54/,2014-12-20 18:12:32.315000,2014-12-20 21:30:21.731000
28,Flitknot speeder,Flitknot speeder,speeder,Huppla Pasa Tisc Shipwrights Collective,2,8000,1,0,634,unknown,unknown,https://swapi.dev/api/vehicles/55/,2014-12-20 18:15:20.312000,2014-12-20 21:30:21.735000
29,Neimoidian shuttle,Sheathipede-class transport shuttle,transport,Haor Chall Engineering,20,unknown,2,6,880,1000,7 days,https://swapi.dev/api/vehicles/56/,2014-12-20 18:25:44.912000,2014-12-20 21:30:21.739000
30,Geonosian starfighter,Nantex-class territorial defense,starfighter,Huppla Pasa Tisc Shipwrights Collective,9.8,unknown,1,0,20000,unknown,unknown,https://swapi.dev/api/vehicles/57/,2014-12-20 18:34:12.541000,2014-12-20 21:30:21.742000
31,Tsmeu-6 personal wheel bike,Tsmeu-6 personal wheel bike,wheeled walker,Z-Gomot Ternbuell Guppat Corporation,3.5,15000,1,1,330,10,none,https://swapi.dev/api/vehicles/60/,2014-12-20 19:43:54.870000,2014-12-20 21:30:21.745000
32,Emergency Firespeeder,Fire suppression speeder,fire suppression ship,unknown,unknown,unknown,2,unknown,unknown,unknown,unknown,https://swapi.dev/api/vehicles/62/,2014-12-20 19:50:58.559000,2014-12-20 21:30:21.749000
33,Droid tri-fighter,tri-fighter,droid starfighter,"Colla Designs, Phlac-Arphocc Automata Industries",5.4,20000,1,0,1180,0,none,https://swapi.dev/api/vehicles/67/,2014-12-20 20:05:19.992000,2014-12-20 21:30:21.752000
34,Oevvaor jet catamaran,Oevvaor jet catamaran,airspeeder,Appazanna Engineering Works,15.1,12125,2,2,420,50,3 days,https://swapi.dev/api/vehicles/69/,2014-12-20 20:20:53.931000,2014-12-20 21:30:21.756000
35,Raddaugh Gnasp fluttercraft,Raddaugh Gnasp fluttercraft,air speeder,Appazanna Engineering Works,7,14750,2,0,310,20,none,https://swapi.dev/api/vehicles/70/,2014-12-20 20:21:55.648000,2014-12-20 21:30:21.759000
36,Clone turbo tank,HAVw A6 Juggernaut,wheeled walker,Kuat Drive Yards,49.4,350000,20,300,160,30000,20 days,https://swapi.dev/api/vehicles/71/,2014-12-20 20:24:45.587000,2014-12-20 21:30:21.762000
37,Corporate Alliance tank droid,NR-N99 Persuader-class droid enforcer,droid tank,Techno Union,10.96,49000,0,4,100,none,none,https://swapi.dev/api/vehicles/72/,2014-12-20 20:26:55.522000,2014-12-20 21:30:21.765000
38,Droid gunship,HMP droid gunship,airspeeder,"Baktoid Fleet Ordnance, Haor Chall Engineering",12.3,60000,0,0,820,0,none,https://swapi.dev/api/vehicles/73/,2014-12-20 20:32:05.687000,2014-12-20 21:30:21.768000
39,AT-RT,All Terrain Recon Transport,walker,Kuat Drive Yards,3.2,40000,1,0,90,20,1 day,https://swapi.dev/api/vehicles/76/,2014-12-20 20:47:49.189000,2014-12-20 21:30:21.772000
